2016-07-07 14:26,SHA,AKL,2016-08-06,2016-08-13,Ctrip,tag-business,6166.0,MH389|MH131,16h20m,MH132|MH388,18h0m
2016-07-07 14:28,NKG,HKG,2016-08-06,2016-08-13,Ctrip,tag-text,1587.0,MU765,2h10m,MU766,2h0m
2016-07-07 14:26,PEK,TPE,2016-08-06,2016-08-13,Ctrip,特惠推荐,1556.0,NX005|NX618,7h5m,NX609|NX008,7h50m
2016-07-07 14:29,PEK,SFO,2016-08-06,2016-08-13,Ctrip,特惠推荐,8325.0,PR361|PR104,32h35m,PR105|PR360,34h55m
2016-07-07 14:26,SHA,HKT,2016-08-06,2016-08-13,Ctrip,tag-business,3308.0,MH389|MH786,19h20m,MH791|MH388,19h10m
2016-07-07 14:29,KMG,HKG,2016-08-06,2016-08-13,Ctrip,特惠推荐,1922.0,UO274,2h30m,UO273,2h20m
2016-07-07 14:27,SZX,TPE,2016-08-06,2016-08-13,Ctrip,tag-text,1959.0,MF8364|MF883,4h40m,MF884|MF8363,12h30m
2016-07-07 14:29,PEK,BVA,2016-08-06,2016-08-13,Ctrip,特惠推荐,1275.0,KA975,3h40m,KA902,3h20m
2016-07-07 14:27,SHA,NGO,2016-08-06,2016-08-13,Ctrip,tag-business,3437.0,JL884,2h30m,JL208|JL873,16h15m
2016-07-07 14:29,PEK,YTO,2016-08-06,2016-08-13,Ctrip,航司直销,10740.0,MU5160|MU207,28h45m,MU208|MU5137,28h50m
2016-07-07 14:30,XMN,TPE,2016-08-06,2016-08-13,Ctrip,旅行套餐,1672.0,KA615|CX408,4h20m,CX473|KA616,4h25m
